0 1:1.000000 2:0.847500 3:0.017015 4:0.016393 
0 1:1.000000 2:0.742500 3:0.034694 4:0.177094 
0 1:0.000000 2:0.140000 3:-0.453688 4:0.149565 
0 1:1.000000 2:0.525000 3:0.470739 4:1.000000 
0 1:0.000000 2:0.012500 3:-0.110972 4:2.868695 
0 1:1.000000 2:0.617500 3:0.017015 4:0.014925 
0 1:1.000000 2:0.720000 3:0.017015 4:0.015152 
0 1:0.000000 2:0.310000 3:-0.298665 4:0.051122 
0 1:0.000000 2:0.315000 3:-0.377457 4:0.091733 
0 1:1.000000 2:0.387500 3:0.024216 4:0.046653 
0 1:1.000000 2:0.887500 3:0.017015 4:0.017544 
0 1:1.000000 2:0.450000 3:0.295188 4:0.566734 
0 1:1.000000 2:0.707500 3:0.017015 4:0.071429 
0 1:1.000000 2:0.622500 3:0.017015 4:0.050000 
0 1:0.000000 2:0.185000 3:-0.169205 4:0.235595 
0 1:1.000000 2:0.762500 3:0.017015 4:0.090909 
1 1:1.000000 2:0.240000 3:0.669979 4:0.342857 
0 1:1.000000 2:0.805000 3:0.017015 4:0.083333 
0 1:0.000000 2:0.282500 3:-0.585709 4:0.090005 
0 1:0.000000 2:0.335000 3:-0.235487 4:0.112659 
0 1:0.000000 2:0.292500 3:0.024216 4:0.088141 
0 1:1.000000 2:0.722500 3:0.017015 4:0.058824 
0 1:1.000000 2:0.897500 3:0.017015 4:0.055556 
0 1:0.000000 2:0.345000 3:-0.298665 4:0.031506 
0 1:0.000000 2:0.065000 3:0.319471 4:2.092531 
0 1:1.000000 2:0.690000 3:0.017015 4:0.047619 
0 1:1.000000 2:0.605000 3:0.347097 4:0.326923 
0 1:0.000000 2:0.172500 3:-0.400116 4:0.227608 
0 1:0.000000 2:0.040000 3:-0.217945 4:1.089397 
0 1:1.000000 2:0.857500 3:0.017015 4:0.040000 
0 1:0.000000 2:0.352500 3:0.029851 4:0.100865 
0 1:1.000000 2:0.542500 3:0.017015 4:0.037037 
0 1:0.000000 2:0.205000 3:0.043062 4:0.307634 
0 1:1.000000 2:0.720000 3:0.024216 4:0.069048 
0 1:1.000000 2:0.480000 3:0.347097 4:0.201149 
0 1:0.000000 2:0.352500 3:-0.500825 4:0.069623 
0 1:0.000000 2:0.037500 3:-0.261937 4:1.250457 
0 1:0.000000 2:0.367500 3:0.017015 4:0.032258 
0 1:0.000000 2:0.525000 3:-0.436709 4:0.013333 
0 1:1.000000 2:0.455000 3:0.295188 4:0.214583 
0 1:0.000000 2:0.340000 3:0.024216 4:0.046875 
0 1:1.000000 2:0.632500 3:0.024216 4:0.092803 
0 1:0.000000 2:0.245000 3:0.024216 4:0.045285 
0 1:0.000000 2:0.270000 3:-0.235487 4:0.076659 
0 1:1.000000 2:0.407500 3:0.024216 4:0.044444 
0 1:1.000000 2:0.695000 3:0.470739 4:0.125000 
0 1:1.000000 2:0.900000 3:0.017015 4:0.027778 
0 1:0.000000 2:0.660000 3:-0.436709 4:0.014286 
0 1:1.000000 2:0.890000 3:0.017015 4:0.027027 
0 1:0.000000 2:0.562500 3:-0.436709 4:0.014493 
0 1:0.000000 2:0.025000 3:-0.403489 4:1.113674 
0 1:1.000000 2:0.402500 3:0.497287 4:1.277713 
0 1:1.000000 2:0.640000 3:-0.021544 4:0.023256 
1 1:1.000000 2:0.280000 3:0.552969 4:1.000000 
0 1:1.000000 2:0.735000 3:-0.030663 4:0.062271 
0 1:1.000000 2:0.567500 3:-0.030663 4:0.046956 
0 1:1.000000 2:0.812500 3:-0.021544 4:0.071429 
1 1:1.000000 2:0.392500 3:0.970129 4:0.524242 
0 1:1.000000 2:0.745000 3:-0.021544 4:0.014925 
0 1:0.000000 2:0.252500 3:-0.043931 4:0.175887 
0 1:1.000000 2:0.740000 3:-0.021544 4:0.016129 
0 1:0.000000 2:0.365000 3:-0.439501 4:0.047816 
0 1:0.000000 2:0.027500 3:-0.140515 4:2.426390 
0 1:1.000000 2:0.742500 3:-0.021544 4:0.022222 
0 1:0.000000 2:0.080000 3:-0.103177 4:1.010835 
0 1:1.000000 2:0.882500 3:-0.021544 4:0.021277 
0 1:0.000000 2:0.075000 3:-0.255319 4:0.540926 
0 1:1.000000 2:0.597500 3:-0.021544 4:0.020408 
0 1:1.000000 2:0.655000 3:-0.021544 4:0.020000 
0 1:1.000000 2:0.417500 3:-0.049442 4:0.141254 
0 1:0.000000 2:0.027500 3:-0.148327 4:1.922976 
0 1:0.000000 2:0.430000 3:-0.709748 4:0.040971 
0 1:1.000000 2:0.642500 3:-0.021544 4:0.019231 
0 1:0.000000 2:0.055000 3:0.071547 4:1.049748 
0 1:1.000000 2:0.572500 3:-0.043931 4:0.148592 
0 1:1.000000 2:0.467500 3:0.378175 4:0.184848 
0 1:1.000000 2:0.897500 3:-0.021544 4:0.017857 
0 1:0.000000 2:0.390000 3:-0.021544 4:0.017544 
0 1:1.000000 2:0.615000 3:-0.037797 4:0.086133 
0 1:0.000000 2:0.487500 3:-0.596057 4:0.012500 
0 1:1.000000 2:0.847500 3:-0.030663 4:0.032822 
0 1:1.000000 2:0.742500 3:-0.021544 4:0.014493 
0 1:0.000000 2:0.140000 3:-0.458382 4:0.345906 
0 1:1.000000 2:0.525000 3:0.298178 4:0.164203 
0 1:0.000000 2:0.012500 3:0.160455 4:3.109066 
0 1:1.000000 2:0.617500 3:-0.021544 4:0.015625 
0 1:1.000000 2:0.720000 3:-0.021544 4:0.015385 
0 1:0.000000 2:0.310000 3:-0.030663 4:0.044563 
0 1:0.000000 2:0.315000 3:-0.596057 4:0.013514 
0 1:1.000000 2:0.387500 3:0.834683 4:0.466414 
0 1:1.000000 2:0.887500 3:-0.021544 4:0.014085 
0 1:1.000000 2:0.450000 3:-0.021544 4:0.014286 
0 1:1.000000 2:0.707500 3:-0.021544 4:0.014706 
0 1:1.000000 2:0.622500 3:0.787013 4:1.142857 
0 1:0.000000 2:0.185000 3:-0.313135 4:0.124238 
0 1:1.000000 2:0.762500 3:-0.021544 4:0.017241 
1 1:1.000000 2:0.240000 3:1.000000 4:1.112501 
0 1:1.000000 2:0.805000 3:-0.030663 4:0.052381 
0 1:0.000000 2:0.282500 3:-0.037797 4:0.206681 
0 1:0.000000 2:0.335000 3:-0.021544 4:0.040000 
0 1:0.000000 2:0.292500 3:-0.629673 4:0.096910 
0 1:1.000000 2:0.722500 3:-0.030663 4:0.120401 
0 1:1.000000 2:0.897500 3:-0.021544 4:0.045455 
0 1:0.000000 2:0.345000 3:-0.596057 4:0.012658 
0 1:0.000000 2:0.065000 3:-0.072376 4:0.384000 
0 1:1.000000 2:0.690000 3:-0.021544 4:0.050000 
0 1:1.000000 2:0.605000 3:-0.030663 4:0.119298 
0 1:0.000000 2:0.172500 3:0.166596 4:0.746003 
0 1:0.000000 2:0.040000 3:0.008607 4:0.887899 
0 1:1.000000 2:0.857500 3:-0.021544 4:0.062500 
0 1:0.000000 2:0.352500 3:-0.037797 4:0.113312 
0 1:1.000000 2:0.542500 3:0.970129 4:0.783333 
0 1:0.000000 2:0.205000 3:-0.489362 4:0.231146 
0 1:1.000000 2:0.720000 3:-0.021544 4:0.047619 
0 1:1.000000 2:0.480000 3:0.378175 4:0.134483 
0 1:0.000000 2:0.352500 3:-0.336802 4:0.087400 
0 1:0.000000 2:0.037500 3:-0.689740 4:0.469607 
0 1:0.000000 2:0.367500 3:-0.021544 4:0.031250 
0 1:0.000000 2:0.525000 3:-0.439501 4:0.042961 
0 1:1.000000 2:0.455000 3:0.552969 4:0.250000 
0 1:0.000000 2:0.340000 3:-0.709748 4:0.044336 
0 1:1.000000 2:0.632500 3:-0.030663 4:0.043723 
0 1:0.000000 2:0.245000 3:-0.472188 4:0.264779 
0 1:0.000000 2:0.270000 3:-0.373773 4:0.056022 
0 1:1.000000 2:0.407500 3:-0.021544 4:0.027778 
